plate_id,sample_id,mean_abs,sd_abs,cv_abs,slope,intercept,run_date,mass_kg,poxc_mg_kg
20210707_plate3,248,0.21300000000000002,0,0,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,249,0.2016666666666667,0.0025166114784235852,1.247906518226571,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,250,0.22933333333333336,0.0025166114784235852,1.097359656289354,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,251,0.2266666666666667,0.001527525231651948,0.6739081904346828,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,252,0.249,0.0020000000000000018,0.8032128514056233,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,253,0.13266666666666668,5.773502691896263e-4,0.43518864511780875,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,254,0.126,0.001999999999999995,1.587301587301583,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,255,0.112,0.002645751311064593,2.362277956307672,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,256,0.2106666666666667,0.0025166114784235852,1.194594056213727,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,257,0.2256666666666667,0.0020816659994661343,0.9224516984340329,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,258,0.21000000000000002,0.0010000000000000009,0.4761904761904766,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,259,0.16699999999999998,0.0010000000000000009,0.5988023952095813,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,260,0.202,0.0017320508075688787,0.8574508948360785,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,261,0.16766666666666666,0.001527525231651948,0.9110488459156747,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,262,0.23000000000000004,0.0017320508075688787,0.753065568508208,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,263,0.24466666666666667,0.0011547005383792527,0.4719484489288499,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,264,0.245,0.002645751311064593,1.0798984943120788,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,265,0.1506666666666667,5.773502691896263e-4,0.3831970813205484,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,266,0.1376666666666667,0.0011547005383792527,0.8387655242464305,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,267,0.197,0.0017320508075688787,0.8792136079029841,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,268,0.15033333333333335,0.001527525231651948,1.0160921718305638,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,269,0.191,0.0017320508075688787,0.9068328835439156,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,rgt_blank,0.377,0.0050000000000000044,1.3262599469496033,0.051781928608262195,4.693319200137491e-4,20210707,NA,NA
20210707_plate3,soil_std3,0.193,0.0010000000000000009,0.5181347150259072,0.051781928608262195,4.693319200137491e-4,20210707,0.0025099999999999996,683.9107787037835
20210713_plate1,1,0.1433333333333333,5.773502691896263e-4,0.40280251338811146,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025299999999999997,898.7991956733173
20210713_plate1,10,0.10166666666666667,5.773502691896263e-4,0.5678855106783209,0.050614185979375094,1.1217798154794685e-4,20210713,0.00252,1053.003317420161
20210713_plate1,11,0.10366666666666666,5.773502691896103e-4,0.5569295201185952,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025,1054.1389011784922
20210713_plate1,12,0.08333333333333333,5.773502691896263e-4,0.6928203230275517,0.050614185979375094,1.1217798154794685e-4,20210713,0.00252,1119.2837990598189
20210713_plate1,13,0.18866666666666668,0.004618802153517011,2.448128349920677,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025499999999999997,729.7843950830555
20210713_plate1,14,0.20066666666666666,5.773502691896263e-4,0.28771608099150814,0.050614185979375094,1.1217798154794685e-4,20210713,0.0024700000000000004,709.1593383588425
20210713_plate1,15,0.18433333333333332,0.001527525231651948,0.828675532541744,0.050614185979375094,1.1217798154794685e-4,20210713,0.0024500000000000004,775.6854173574302
20210713_plate1,16,0.19066666666666668,5.773502691896263e-4,0.30280608523931446,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025099999999999996,734.1550201231938
20210713_plate1,17,0.19766666666666666,0.002081665999466119,1.0531193926472777,0.050614185979375094,1.1217798154794685e-4,20210713,0.00254,700.3760732973244
20210713_plate1,18,0.207,0.0034641016151377574,1.6734790411293516,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025499999999999997,664.2836838156289
20210713_plate1,19,0.19033333333333333,0.0011547005383792527,0.6066727872395373,0.050614185979375094,1.1217798154794685e-4,20210713,0.0024500000000000004,753.3738578236648
20210713_plate1,2,0.1413333333333333,0.0020816659994661343,1.472876886414718,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025,916.873228802427
20210713_plate1,20,0.212,0.0017320508075688787,0.8170050979098484,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025299999999999997,651.5298918373188
20210713_plate1,21,0.17666666666666667,5.773502691896263e-4,0.32680203916393946,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025499999999999997,772.6575879126437
20210713_plate1,22,0.216,0.0010000000000000009,0.46296296296296335,0.050614185979375094,1.1217798154794685e-4,20210713,0.00246,655.2554522127099
20210713_plate1,23,0.22133333333333333,5.773502691896263e-4,0.26085102523627696,0.050614185979375094,1.1217798154794685e-4,20210713,0.00246,635.5035747573438
20210713_plate1,24,0.18766666666666668,0.001527525231651948,0.813956606564093,0.050614185979375094,1.1217798154794685e-4,20210713,0.00254,736.2443940701098
20210713_plate1,25,0.23033333333333333,0.001527525231651948,0.6631802742338414,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025299999999999997,585.5113883859598
20210713_plate1,3,0.19,0,0,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025499999999999997,725.020706990879
20210713_plate1,4,0.17933333333333332,0.004932882862316252,2.75067817601278,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025099999999999996,775.2916493653952
20210713_plate1,5,0.17266666666666666,5.773502691896263e-4,0.3343727427739149,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025499999999999997,786.9486521891732
20210713_plate1,6,0.1723333333333333,5.773502691896263e-4,0.3350194985626459,0.050614185979375094,1.1217798154794685e-4,20210713,0.00248,810.3854492907882
20210713_plate1,7,0.15466666666666667,5.773502691896263e-4,0.37328681197605146,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025299999999999997,857.9877571761135
20210713_plate1,8,0.165,0.0010000000000000009,0.6060606060606066,0.050614185979375094,1.1217798154794685e-4,20210713,0.00249,833.9625059172407
20210713_plate1,9,0.2023333333333333,5.773502691896263e-4,0.2853460967988269,0.050614185979375094,1.1217798154794685e-4,20210713,0.0024700000000000004,703.011866377542
20210713_plate1,rgt_blank,0.37033333333333335,0.0032145502536642897,0.8680153700263609,0.050614185979375094,1.1217798154794685e-4,20210713,NA,NA
20210713_plate1,soil_std,0.21966666666666668,0.001527525231651948,0.6953832617535423,0.050614185979375094,1.1217798154794685e-4,20210713,0.0025,631.4092198787513
