sample_id,site,treatment,position,replicate,date.coll,region
258,RR3,SH,A,3,20200921,RR
259,RR5,SH,B,1,20200921,RR
260,RR5,SH,B,2,20200921,RR
261,RR5,SH,B,3,20200921,RR
262,RR5,CV,A,1,20200921,RR
263,RR5,CV,A,2,20200921,RR
264,RR5,CV,A,3,20200921,RR
265,RR1,CV,B,1,20200922,RR
266,RR1,CV,B,2,20200922,RR
267,RR1,CV,B,3,20200922,RR
268,RR1,SH,B,1,20200922,RR
269,RR1,SH,B,2,20200922,RR
270,RR1,SH,B,3,20200922,RR
271,RR3,UD,A,1,20200921,RR
272,RR3,UD,A,2,20200921,RR
273,RR3,UD,A,3,20200921,RR
274,RR1,CC,B,1,20200922,RR
275,RR1,CC,B,2,20200922,RR
276,RR1,CC,B,3,20200922,RR
277,RR1,UD,B,1,20200922,RR
278,RR1,UD,B,2,20200922,RR
279,RR1,UD,B,3,20200922,RR
280,RR2,CV,A,1,20201008,RR
281,RR2,CV,A,2,20201008,RR
282,RR2,CV,A,3,20201008,RR
283,RR2,SH,A,1,20201008,RR
284,RR2,SH,A,2,20201008,RR
285,RR2,SH,A,3,20201008,RR
286,RR2,UD,A,1,20201008,RR
287,RR2,UD,A,2,20201008,RR
288,RR2,UD,A,3,20201008,RR
289,RR2,CV,B,1,20201008,RR
290,RR2,CV,B,2,20201008,RR
291,RR2,CV,B,3,20201008,RR
292,RR2,SH,B,1,20201008,RR
293,RR2,SH,B,2,20201008,RR
294,RR2,SH,B,3,20201008,RR
295,RR4,CV,A,1,20201007,RR
296,RR4,CV,A,2,20201007,RR
297,RR4,CV,A,3,20201007,RR
298,RR4,CV,B,1,20201007,RR
299,RR4,CV,B,2,20201007,RR
300,RR4,CV,B,3,20201007,RR
301,RR4,SH,B,1,20201007,RR
302,RR4,SH,B,2,20201007,RR
303,RR4,SH,B,3,20201007,RR
304,RR4,UD,A,1,20201007,RR
305,RR4,UD,A,2,20201007,RR
306,RR4,UD,A,3,20201007,RR
307,RR4,SH,A,1,20201007,RR
308,RR4,SH,A,2,20201007,RR
309,RR4,SH,A,3,20201007,RR
310,,,,,,field w/ headlands in CC mix 
311,,,,,,field w/ headlands in CC mix 
312,SW1,CV,A,1,20201016,SW
313,SW1,CV,A,2,20201016,SW
314,SW1,CV,A,3,20201016,SW
315,SW1,SH,A,1,20201016,SW
316,SW1,SH,A,2,20201016,SW
317,SW1,SH,A,3,20201016,SW
318,SW1,UD,A,1,20201016,SW
319,SW1,UD,A,2,20201016,SW
320,SW1,UD,A,3,20201016,SW
321,SW1,CV,B,1,20201016,SW
322,SW1,CV,B,2,20201016,SW
323,SW1,CV,B,3,20201016,SW
324,SW1,SH,B,1,20201016,SW
325,SW1,SH,B,2,20201016,SW
326,SW1,SH,B,3,20201016,SW
327,SW2,CV,A,1,20201017,SW
328,SW2,CV,A,2,20201017,SW
329,SW2,CV,A,3,20201017,SW
330,SW2,SH,A,1,20201017,SW
331,SW2,SH,A,2,20201017,SW
332,SW2,SH,A,3,20201017,SW
333,SW2,UD,A,1,20201017,SW
334,SW2,UD,A,2,20201017,SW
335,SW2,UD,A,3,20201017,SW
336,SW2,CV,B,1,20201017,SW
337,SW2,CV,B,2,20201017,SW
338,SW2,CV,B,3,20201017,SW
339,SW2,SH,B,1,20201017,SW
340,SW2,SH,B,2,20201017,SW
341,SW2,SH,B,3,20201017,SW
342,SW3,CV,A,1,20201016,SW
343,SW3,CV,A,2,20201016,SW
344,SW3,CV,A,3,20201016,SW
345,SW3,SH,A,1,20201016,SW
346,SW3,SH,A,2,20201016,SW
347,SW3,SH,A,3,20201016,SW
348,SW3,UD,B,1,20201017,SW
349,SW3,UD,B,2,20201017,SW
350,SW3,UD,B,3,20201017,SW
351,SW3,CV,B,1,20201016,SW
352,SW3,CV,B,2,20201016,SW
353,SW3,CV,B,3,20201016,SW
354,SW3,SH,B,1,20201016,SW
355,SW3,SH,B,2,20201016,SW
356,SW3,SH,B,3,20201016,SW
357,ST2,CV,A,1,20201023,ST
358,ST2,CV,A,2,20201023,ST
359,ST2,CV,A,3,20201023,ST
360,ST2,SH,A,1,20201023,ST
361,ST2,SH,A,2,20201023,ST
362,ST2,SH,A,3,20201023,ST
363,ST2,UD,A,1,20201023,ST
364,ST2,UD,A,2,20201023,ST
365,ST2,UD,A,3,20201023,ST
366,ST2,CV,B,1,20201023,ST
367,ST2,CV,B,2,20201023,ST
368,ST2,CV,B,3,20201023,ST
369,ST2,SH,B,1,20201023,ST
370,ST2,SH,B,2,20201023,ST
371,ST2,SH,B,3,20201023,ST
372,ST3,CV,A,1,20201021,ST
373,ST3,CV,A,2,20201021,ST
374,ST3,CV,A,3,20201021,ST
375,ST3,SH,A,1,20201021,ST
376,ST3,SH,A,2,20201021,ST
377,ST3,SH,A,3,20201021,ST
378,ST3,UD,A,1,20201021,ST
379,ST3,UD,A,2,20201021,ST
380,ST3,UD,A,3,20201021,ST
381,ST3,CV,B,1,20201021,ST
382,ST3,CV,B,2,20201021,ST
383,ST3,CV,B,3,20201021,ST
384,ST3,SH,B,1,20201021,ST
385,ST3,SH,B,2,20201021,ST
386,ST3,SH,B,3,20201021,ST
387,ST1,CV,A,1,20201023,ST
388,ST1,CV,A,2,20201023,ST
389,ST1,CV,A,3,20201023,ST
390,ST1,SH,A,1,20201023,ST
391,ST1,SH,A,2,20201023,ST
392,ST1,SH,A,3,20201023,ST
393,ST1,UD,A,1,20201023,ST
394,ST1,UD,A,2,20201023,ST
395,ST1,UD,A,3,20201023,ST
396,ST1,CV,B,1,20201023,ST
397,ST1,CV,B,2,20201023,ST
398,ST1,CV,B,3,20201023,ST
399,ST1,SH,B,1,20201023,ST
