plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
,G,,,,SAA-BM1,SAA-BM1,SAA-BM1,,,,,,
,H,,,,SAA-BM2,SAA-BM2,SAA-BM2,,,,,,
,,,,,,,,,,,,,
saa2021_plate1_20220318,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,,,,,,,,,
,B,0.005_M_std,0.005_M_std,0.005_M_std,SAA-CV2,SAA-CV2,SAA-CV2,,,,,,
,C,0.01_M_std,0.01_M_std,0.01_M_std,SAA-CV3,SAA-CV3,SAA-CV3,,,,,,
,D,0.015_M_std,0.015_M_std,0.015_M_std,SAA-BM1,SAA-BM1,SAA-BM1,,,,,,
,E,0.02_M_std,0.02_M_std,0.02_M_std,SAA-BM2,SAA-BM2,SAA-BM2,,,,,,
,F,SAA-SH1,SAA-SH1,SAA-SH1,SAA-BM3,SAA-BM3,SAA-BM3,,,,,,
,G,SAA-SH2,SAA-SH2,SAA-SH2,SAA-1M,SAA-1M,SAA-1M,,,,,,
,H,SAA-SH3,SAA-SH3,SAA-SH3,,,,,,,,,
,,,,,,,,,,,,,
saa2021_plate2_20220318,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,SAA-5M,SAA-5M,SAA-5M,,,,122,122,122
,B,0.005_M_std,0.005_M_std,0.005_M_std,SAA-6M,SAA-6M,SAA-6M,SAA-14M,SAA-14M,SAA-14M,193,193,193
,C,0.01_M_std,0.01_M_std,0.01_M_std,SAA-7M,SAA-7M,SAA-7M,SAA-15M,SAA-15M,SAA-15M,SAA-CV1,SAA-CV1,SAA-CV1
,D,0.015_M_std,0.015_M_std,0.015_M_std,SAA-8M,SAA-8M,SAA-8M,SAA-16M,SAA-16M,SAA-16M,ddi_blank,ddi_blank,ddi_blank
,E,0.02_M_std,0.02_M_std,0.02_M_std,SAA-9M,SAA-9M,SAA-9M,SAA-17M,SAA-17M,SAA-17M,,,
,F,SAA-2M,SAA-2M,SAA-2M,SAA-10M,SAA-10M,SAA-10M,SAA-18M,SAA-18M,SAA-18M,,,
,G,SAA-3M,SAA-3M,SAA-3M,SAA-11M,SAA-11M,SAA-11M,SAA-19M,SAA-19M,SAA-19M,,,
,H,SAA-4M,SAA-4M,SAA-4M,SAA-12M,SAA-12M,SAA-12M,SAA-20M,SAA-20M,SAA-20M,,,
