weigh_date,sample_id,mass,run_date ,person
20210327,170,2.51,20210331,EL
20210327,171,2.49,20210331,EL
20210327,172,2.51,20210331,EL
20210327,173,2.5,20210331,EL
20210327,174,2.46,20210331,EL
20210327,175,2.48,20210331,EL
20210327,176,2.51,20210331,EL
20210327,177,2.55,20210331,EL
20210327,178,2.51,20210331,EL
20210327,179,2.52,20210331,EL
20210327,191,2.49,20210529,HB
20210327,192,2.51,20210529,HB
20210327,193,2.51,20210529,HB
20210327,194,2.5,20210529,HB
20210327,195,2.52,20210529,HB
20210327,196,2.53,20210529,HB
20210327,197,2.53,20210529,HB
20210327,198,2.5,20210529,HB
20210327,199,2.52,20210529,HB
20210327,200,2.49,20210529,HB
20210327,201,2.51,20210529,HB
20210327,202,2.48,20210529,HB
20210327,203,2.51,20210529,HB
20210327,204,2.53,20210529,HB
20210327,205,2.47,20210529,HB
20210327,206,2.51,20210529,HB
20210327,207,2.52,20210529,HB
20210327,208,2.52,20210529,HB
20210322,105,2.46,20210324,EL
20210322,106,2.49,20210324,EL
20210322,107,2.5,20210324,EL
20210322,108,2.5,20210324,EL
20210322,109,2.52,20210324,EL
20210322,110,2.51,20210324,EL
20210322,111,2.51,20210324,EL
20210322,112,2.54,20210324,EL
20210322,113,2.49,20210324,EL
20210322,114,2.54,20210324,EL
20210322,115,2.52,20210324,EL
20210322,116,2.46,20210324,EL
20210322,117,2.55,20210324,EL
20210322,118,2.49,20210324,EL
20210322,119,2.53,20210324,EL
20210322,120,2.49,20210324,EL
20210322,121,2.47,20210324,EL
20210322,123,2.47,20210324,EL
20210322,124,2.49,20210324,EL
20210322,125,2.52,20210324,EL
20210322,126,2.47,20210324,EL
20210322,127,2.47,20210324,EL
20210322,128,2.49,20210324,EL
20210322,129,2.49,20210324,EL
20210322,130,2.53,20210324,EL
20210322,131,2.51,20210324,EL
20210322,132,2.55,20210324,EL
20210322,133,2.49,20210324,EL
20210322,134,2.54,20210324,EL
20210322,135,2.51,20210324,EL
20210322,136,2.46,20210324,EL
20210322,137,2.47,20210324,EL
20210322,138,2.5,20210324,EL
20210322,139,2.5,20210324,EL
20210322,140,2.48,20210324,EL
20210322,141,2.5,20210324,EL
20210322,142,2.51,20210324,EL
20210322,143,2.54,20210324,EL
20210322,144,2.46,20210324,EL
20210322,145,2.46,20210324,EL
20210322,146,2.49,20210324,EL
20210322,147,2.52,20210324,EL
20210322,148,2.48,20210324,EL
20210322,149,2.51,20210324,EL
20210322,150,2.51,20210324,EL
20210322,151,2.5,20210324,EL
20210322,152,2.48,20210324,EL
20210322,153,2.48,20210324,EL
20210322,154,2.54,20210324,EL
20210322,155,2.51,20210324,EL
20210322,156,2.5,20210324,EL
20210706,soil_std1,2.49,20210707,HB
20210706,soil_std2,2.52,20210707,HB
20210706,soil_std3,2.51,20210707,HB
20210713,soil_std,2.5,20210713,HB
20210722,soil_std,2.54,20210722,HB
20210722,soil_std,2.55,20210723,HB
20210728,soil_std,2.52,20210728,HB
20210707,219_redo,2.51,20210707,HB
20210331,244,2.45,20210707,HB
20210331,245,2.53,20210707,HB
20210331,246,2.49,20210707,HB
20210331,247,2.5,20210707,HB
20210331,248,2.51,20210707,HB
20210331,249,2.5,20210707,HB
20210331,250,2.48,20210707,HB
20210331,251,2.47,20210707,HB
20210331,252,2.51,20210707,HB
20210331,253,2.51,20210707,HB
20210331,254,2.5,20210707,HB
20210331,255,2.54,20210707,HB
20210331,256,2.53,20210707,HB
20210331,257,2.5,20210707,HB
20210331,258,2.55,20210707,HB
20210331,259,2.47,20210707,HB
20210331,260,2.5,20210707,HB
20210331,261,2.55,20210707,HB
20210331,262,2.48,20210707,HB
20210331,263,2.49,20210707,HB
20210331,264,2.55,20210707,HB
20210331,265,2.49,20210707,HB
20210331,266,2.51,20210707,HB
20210331,267,2.5,20210707,HB
20210331,268,2.55,20210707,HB
20210331,269,2.47,20210707,HB
20211220,456,2.54,20211220,HB
20211220,457,2.49,20211220,HB
20211220,458,2.53,20211220,HB
20211220,459,2.52,20211220,HB
20211220,460,2.54,20211220,HB
20211220,461,2.53,20211220,HB
20211220,462,2.47,20211221,HB
20211220,463,2.47,20211221,HB
20211220,464,2.04,20211221,HB
20211220,465,2.48,20211221,HB
20211220,466,2.48,20211221,HB
20211220,467,2.54,20211221,HB
20211220,468,2.53,20211221,HB
20211220,469,2.5,20211221,HB
20211220,470,2.49,20211221,HB
20211220,471,2.48,20211221,HB
20211220,472,2.54,20211221,HB
20211220,473,2.55,20211221,HB
20211220,474,2.5,20211221,HB
20211220,475,2.49,20211221,HB
20211220,476,2.48,20211221,HB
20211220,477,2.51,20211221,HB
20211220,478,2.52,20211221,HB
20211220,479,2.48,20211221,HB
20211220,480,2.55,20211221,HB
20211220,481,2.54,20211221,HB
20211220,482,2.5,20211221,HB
20211220,483,2.54,20211221,HB
20211220,484,2.55,20211221,HB
20211220,485,2.49,20211221,HB
20211220,486,2.54,20211221,HB
20211220,487,2.52,20211221,HB
20211220,488,2.54,20211221,HB
20211220,339,2.47,20211221,HB
20211220,340,2.55,20211221,HB
20211220,341,2.49,20211221,HB
20211220,342,2.55,20211221,HB
20211220,343,2.48,20211221,HB
20211220,344,2.5,20211221,HB
20211220,345,2.5,20211221,HB
20211220,346,2.53,20211221,HB
20211220,347,2.55,20211221,HB
20211220,348,2.55,20211221,HB
20211220,349,2.5,20211221,HB
20211220,350,2.54,20211221,HB
20211220,351,2.49,20211221,HB
20211220,352,2.47,20211221,HB
20211220,353,2.55,20211221,HB
20211220,354,2.53,20211221,HB
20211220,355,2.54,20211221,HB
20211220,356,2.52,20211221,HB
20211220,357,2.55,20211221,HB
20211220,358,2.52,20211221,HB
20211220,359,2.51,20211221,HB
20211220,410_redo,2.54,20211221,HB
20211228,360,2.53,20211231,HB
20211228,361,2.53,20211231,HB
20211228,362,2.48,20211231,HB
20211228,363,2.53,20211231,HB
20211228,364,2.53,20211231,HB
20211228,365,2.47,20211231,HB
20211228,366,2.49,20211231,HB
20211228,367,2.51,20211231,HB
20211228,368,2.53,20211231,HB
